X,CH1,Start,Increment
Sequence,Volt,-3.00E-03,5.00E-06
0,2.16E+00,-3.00E-03,5.00E-06
1,3.20E+00,-3.00E-03,5.00E-06
2,3.04E+00,-3.00E-03,5.00E-06
3,3.20E+00,-3.00E-03,5.00E-06
4,3.04E+00,-3.00E-03,5.00E-06
5,3.20E+00,-3.00E-03,5.00E-06
6,3.04E+00,-3.00E-03,5.00E-06
7,3.20E+00,-3.00E-03,5.00E-06
8,3.04E+00,-3.00E-03,5.00E-06
9,3.12E+00,-3.00E-03,5.00E-06
10,3.12E+00,-3.00E-03,5.00E-06
11,3.04E+00,-3.00E-03,5.00E-06
12,3.04E+00,-3.00E-03,5.00E-06
13,3.12E+00,-3.00E-03,5.00E-06
14,3.04E+00,-3.00E-03,5.00E-06
15,3.12E+00,-3.00E-03,5.00E-06
16,3.04E+00,-3.00E-03,5.00E-06
17,3.04E+00,-3.00E-03,5.00E-06
18,3.04E+00,-3.00E-03,5.00E-06
19,3.12E+00,-3.00E-03,5.00E-06
20,3.12E+00,-3.00E-03,5.00E-06
21,3.04E+00,-3.00E-03,5.00E-06
22,3.04E+00,-3.00E-03,5.00E-06
23,3.12E+00,-3.00E-03,5.00E-06
24,3.04E+00,-3.00E-03,5.00E-06
25,3.12E+00,-3.00E-03,5.00E-06
26,3.04E+00,-3.00E-03,5.00E-06
27,3.04E+00,-3.00E-03,5.00E-06
28,3.04E+00,-3.00E-03,5.00E-06
29,3.12E+00,-3.00E-03,5.00E-06
30,3.04E+00,-3.00E-03,5.00E-06
31,3.04E+00,-3.00E-03,5.00E-06
32,3.04E+00,-3.00E-03,5.00E-06
33,3.12E+00,-3.00E-03,5.00E-06
34,3.04E+00,-3.00E-03,5.00E-06
35,3.12E+00,-3.00E-03,5.00E-06
36,3.04E+00,-3.00E-03,5.00E-06
37,3.12E+00,-3.00E-03,5.00E-06
38,3.04E+00,-3.00E-03,5.00E-06
39,3.12E+00,-3.00E-03,5.00E-06
40,3.04E+00,-3.00E-03,5.00E-06
41,3.12E+00,-3.00E-03,5.00E-06
42,3.04E+00,-3.00E-03,5.00E-06
43,3.12E+00,-3.00E-03,5.00E-06
44,3.04E+00,-3.00E-03,5.00E-06
45,3.04E+00,-3.00E-03,5.00E-06
46,3.04E+00,-3.00E-03,5.00E-06
47,3.12E+00,-3.00E-03,5.00E-06
48,3.04E+00,-3.00E-03,5.00E-06
49,3.12E+00,-3.00E-03,5.00E-06
50,3.04E+00,-3.00E-03,5.00E-06
51,3.12E+00,-3.00E-03,5.00E-06
52,3.04E+00,-3.00E-03,5.00E-06
53,3.12E+00,-3.00E-03,5.00E-06
54,3.04E+00,-3.00E-03,5.00E-06
55,3.12E+00,-3.00E-03,5.00E-06
56,3.04E+00,-3.00E-03,5.00E-06
57,3.12E+00,-3.00E-03,5.00E-06
58,3.04E+00,-3.00E-03,5.00E-06
59,3.12E+00,-3.00E-03,5.00E-06
60,3.12E+00,-3.00E-03,5.00E-06
61,3.04E+00,-3.00E-03,5.00E-06
62,3.12E+00,-3.00E-03,5.00E-06
63,2.96E+00,-3.00E-03,5.00E-06
64,3.12E+00,-3.00E-03,5.00E-06
65,3.04E+00,-3.00E-03,5.00E-06
66,3.04E+00,-3.00E-03,5.00E-06
67,2.96E+00,-3.00E-03,5.00E-06
68,3.04E+00,-3.00E-03,5.00E-06
69,2.96E+00,-3.00E-03,5.00E-06
70,3.04E+00,-3.00E-03,5.00E-06
71,2.96E+00,-3.00E-03,5.00E-06
72,3.12E+00,-3.00E-03,5.00E-06
73,2.96E+00,-3.00E-03,5.00E-06
74,3.04E+00,-3.00E-03,5.00E-06
75,3.12E+00,-3.00E-03,5.00E-06
76,3.04E+00,-3.00E-03,5.00E-06
77,3.04E+00,-3.00E-03,5.00E-06
78,3.04E+00,-3.00E-03,5.00E-06
79,3.12E+00,-3.00E-03,5.00E-06
80,3.12E+00,-3.00E-03,5.00E-06
81,2.96E+00,-3.00E-03,5.00E-06
82,3.12E+00,-3.00E-03,5.00E-06
83,2.88E+00,-3.00E-03,5.00E-06
84,2.96E+00,-3.00E-03,5.00E-06
85,3.12E+00,-3.00E-03,5.00E-06
86,3.04E+00,-3.00E-03,5.00E-06
87,3.12E+00,-3.00E-03,5.00E-06
